3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
BHP	255359	255359	0	0	0	0	0	0	255359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255359
TFP	255233	255233	0	0	0	0	0	0	255233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255233
DCT	255179	255179	0	0	0	0	0	0	255179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255179
CPG	255163	255163	0	0	0	0	0	0	255163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255163
HSW	255022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255022	0	0	0	0	0	0	0	255022	0	0	0
MGH	254960	254960	0	0	0	0	0	0	254960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254960
ZAJ	254637	0	0	0	126505	0	0	128132	0	0	0	0	0	0	126505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128132	0	126505	0	0	0	0	128132	0	0	0	0	0	0	126505	0	128132	0
IDJ	254605	0	0	0	0	254605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254605	0	0	0	0	0	0	0	0	0	0	254605	0	0
LRC	254160	254160	0	0	0	0	0	0	254160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254160
YSD	254091	0	0	0	0	0	254091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254091	0	0	0	0	0	0	0	0	0	0	0	0	254091	0	0	0	0	0	0	0	0	0	254091	0	0	0
UHI	253853	0	0	0	147670	106183	0	0	0	0	0	0	0	0	0	147670	0	0	0	0	0	106183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147670	0	106183	0	0	0	0	0	0	0	0	0	147670	106183	0
AUW	253784	0	134912	0	118872	0	0	0	0	0	134912	0	0	0	0	0	0	118872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134912	0	118872	0	0	0	0	0	0	0	0	0	0	0	253784
FPC	253482	253482	0	0	0	0	0	0	253482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253482
QOL	253272	253272	0	0	0	0	0	0	253272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253272
PLR	252976	142634	110342	0	0	0	0	0	142634	0	110342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142634	110342	0	0	0	0	0	0	0	0	0	0	0	0	0	252976
KIU	252797	0	0	0	0	0	252797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252797	0	0	0	0	0	0	0	0	0	0	0	0	252797	0	0	0	0	0	0	0	0	0	252797	0	0
ZBI	252077	0	0	0	0	0	252077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252077	0	0	0	0	0	0	0	0	0	0	0	0	252077	0	0	0	0	0	0	0	0	0	252077	0	0	0	0	0
CFD	251971	251971	0	0	0	0	0	0	251971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251971
BMC	251545	251545	0	0	0	0	0	0	251545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251545
MFS	250926	145274	105652	0	0	0	0	0	145274	0	105652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145274	105652	0	0	0	0	0	0	0	0	0	0	0	0	0	250926
HBH	250528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250528	0	0	0	0	0	0	250528	0	0
BHB	250528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250528	0	0	0	0	0	0	250528	0	0	0
YXE	250459	0	0	0	0	0	250459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250459	0	0	0	0	0	0	0	0	0	0	0	0	250459	0	0	0	0	0	0	0	0	0	250459	0	0	0	0
GJI	250393	0	0	0	146417	0	0	0	0	0	0	0	0	0	0	0	0	146417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146417	0	0	103976	0	0	0	0	0	103976	0	0	146417
NGJ	250393	0	0	0	146417	0	0	0	0	0	0	0	0	0	0	0	146417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146417	0	0	103976	0	0	0	0	0	103976	0	0	146417	0
JIR	250286	0	250286	0	0	0	0	0	0	250286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250286	0	0	0	0	0	0	0	0	0	0	0	0	0	250286	0
ALX	249782	0	249782	0	0	0	0	0	0	0	249782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249782	0	0	0	0	0	0	0	0	0	0	0	0	0	249782
ETV	249679	0	0	0	0	126111	123568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126111	0	0	123568	0	0	0	0	0	0	0	0	0	0	0	0	123568	0	126111	0	0	0	0	0	0	0	123568	0	0	126111
ICQ	249636	0	0	0	0	106224	143412	0	0	0	0	0	0	0	0	0	0	0	0	106224	0	0	0	0	0	143412	0	0	0	0	0	0	0	0	0	0	0	106224	143412	0	0	0	0	0	0	0	0	0	249636	0	0	0
WCC	248198	248198	0	0	0	0	0	0	248198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248198
FAP	248029	248029	0	0	0	0	0	0	248029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248029
TLL	248019	248019	0	0	0	0	0	0	248019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248019
MHI	247427	0	0	0	0	247427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247427	0	0	0	0	0	0	0	0	0	0	247427	0	0
IMD	247225	133557	113668	0	0	0	0	0	133557	0	113668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133557	113668	0	0	0	0	0	0	0	0	0	0	0	0	0	247225
DSR	247126	133954	0	113172	0	0	0	0	133954	0	0	113172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247126	0	0	0	0	0	0	0	0	0	0	0	0	113172	0	133954
DNB	245739	245739	0	0	0	0	0	0	245739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245739
DVT	245706	245706	0	0	0	0	0	0	245706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245706
DNR	245668	245668	0	0	0	0	0	0	245668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245668
CAZ	244815	0	0	0	0	244815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244815	0	0	0	0	0	0	0	0	0	0	244815	0	0
WNA	244800	0	0	0	0	244800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244800	0	0	0	0	0	0	0	0	0	0	244800	0	0
TLN	244757	0	0	0	0	244757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244757	0	0	0	0	0	0	0	0	0	0	244757
SPM	244160	244160	0	0	0	0	0	0	244160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244160
GIK	243905	0	0	243905	0	0	0	0	0	0	0	0	0	243905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243905	0	0	0	0	0	0	0	0	0	0	0	0	243905
PRD	243865	243865	0	0	0	0	0	0	243865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243865
AQA	243712	0	0	243712	0	0	0	0	0	0	0	243712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243712	0	0	0	0	0	0	0	0	0	0	0	0	243712	0	0
QAB	243712	0	0	243712	0	0	0	0	0	0	0	0	243712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243712	0	0	0	0	0	0	0	0	0	0	0	0	243712	0
WOJ	243328	0	0	0	0	130037	113291	0	0	0	0	0	0	0	0	0	0	0	130037	0	0	0	0	113291	0	0	0	0	0	0	0	0	0	0	0	0	243328	0	0	0	0	0	0	0	0	0	113291	130037	0	0	0	0
UAU	243262	0	0	0	0	130099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113163	130099	0	0	0	0	0	0	113163	0	0	0	130099	0	0
KGA	243256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243256	0	0	0	0	0	0	0	243256	0	0	0	0
PDG	243150	0	243150	0	0	0	0	0	0	243150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243150	0	0	0	0	0	0	0	0	0	0	0	0	0	243150	0
DGF	243150	0	243150	0	0	0	0	0	0	0	243150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243150	0	0	0	0	0	0	0	0	0	0	0	0	0	243150
FSM	242482	242482	0	0	0	0	0	0	242482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242482
UFB	242448	0	0	0	242448	0	0	0	0	0	0	0	0	0	0	242448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242448	0	0	0	0	0	0	0	0	0	0	0	242448	0	0
HCC	242333	242333	0	0	0	0	0	0	242333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242333
XIK	241632	0	0	0	0	241632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241632	0	0	0	0	0	0	0	0	0	0	241632	0	0
LPC	241555	241555	0	0	0	0	0	0	241555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241555
VOZ	241514	241514	0	0	0	0	0	0	241514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241514
PPC	241410	241410	0	0	0	0	0	0	241410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241410
MUA	241157	109754	0	131403	0	0	0	0	109754	0	0	131403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241157	0	0	0	0	0	0	0	0	0	0	0	0	131403	0	109754
OWG	241087	0	0	0	139642	101445	0	0	0	0	0	0	0	0	0	139642	0	0	0	101445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241087	0	0	0	0	0	0	0	0	0	0	101445	139642	0	0
LHY	241037	0	0	0	0	0	115537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115537	0	0	0	0	0	0	0	0	0	0	0	0	115537	0	0	0	0	125500	0	0	0	0	115537	0	0	0
DMZ	240846	240846	0	0	0	0	0	0	240846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240846
PCE	240741	240741	0	0	0	0	0	0	240741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240741
RHS	240699	240699	0	0	0	0	0	0	240699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240699
MTB	240398	0	240398	0	0	0	0	0	0	240398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240398	0	0	0	0	0	0	0	0	0	0	0	0	0	240398	0
TYG	240319	0	0	114023	0	126296	0	0	0	0	0	114023	0	0	0	0	0	0	0	126296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114023	126296	0	0	0	0	0	0	0	0	0	0	126296	114023	0	0
PHC	240124	240124	0	0	0	0	0	0	240124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240124
RHW	239913	0	0	0	0	239913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239913	0	0	0	0	0	0	0	0	0	0	239913	0	0
OXW	239888	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	239888	0	0	0
XWO	239888	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239888	0	0	0	0	0	0	0	0	0	0	239888	0	0
BCP	239871	239871	0	0	0	0	0	0	239871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239871
KPD	239620	239620	0	0	0	0	0	0	239620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239620
GML	239141	0	239141	0	0	0	0	0	0	0	239141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239141	0	0	0	0	0	0	0	0	0	0	0	0	0	239141
SGM	239141	0	239141	0	0	0	0	0	0	239141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239141	0	0	0	0	0	0	0	0	0	0	0	0	0	239141	0
POQ	238892	0	0	0	238892	0	0	0	0	0	0	0	0	0	0	238892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238892	0	0	0	0	0	0	0	0	0	0	0	238892	0	0
XYM	238389	0	0	0	0	0	238389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238389	0	0	0	0	0	0	0	0	0	0	0	0	238389	0	0	0	0	0	0	0	0	0	238389	0	0	0	0
TLU	238206	125066	0	0	0	113140	0	0	125066	0	0	0	0	0	0	0	0	0	0	0	113140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125066	0	113140	0	0	0	0	0	0	0	0	0	0	113140	0	125066
VBS	237728	0	0	0	0	0	237728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237728	0	0	0	0	0	0	0	0	0	0	0	0	237728	0	0	0	0	0	0	0	0	0	237728	0	0	0	0	0
IGV	236453	0	0	0	0	236453	0	0	0	0	0	0	0	0	0	0	0	0	0	236453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236453	0	0	0	0	0	0	0	0	0	0	236453	0	0	0
WHU	236213	0	106079	0	0	0	130134	0	0	106079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130134	0	0	0	0	0	0	0	0	0	0	106079	0	130134	0	0	0	0	0	0	0	0	0	130134	0	106079	0
XMI	236093	0	0	116489	0	0	119604	0	0	0	0	0	0	116489	0	0	0	0	0	0	0	0	0	0	0	0	119604	0	0	0	0	0	0	0	0	0	0	0	116489	119604	0	0	0	0	0	0	0	0	0	119604	0	116489
AJC	235434	121882	0	0	0	0	0	0	121882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121882	0	0	0	0	113552	0	0	0	0	0	0	113552	0	0	121882
TRW	235150	235150	0	0	0	0	0	0	235150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235150
MRU	235084	0	0	123344	111740	0	0	0	0	0	0	0	0	123344	0	0	111740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235084	0	0	0	0	0	0	0	0	0	0	0	111740	123344
RTP	235067	235067	0	0	0	0	0	0	235067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235067
GSK	234576	0	0	0	0	107899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107899	0	0	0	126677	0	0	0	0	0	0	107899	126677	0
DTC	234086	234086	0	0	0	0	0	0	234086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234086
OEE	233696	0	233696	0	0	0	0	0	0	233696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233696	0	0	0	0	0	0	0	0	0	0	0	0	0	233696	0
SWR	233312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233312	0	0	0	0	106527	126785	0	0	0	0
OEP	233168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105438	0	0	0	127730	0	0	0	0	0	0	0	0	0
PVD	233056	121948	111108	0	0	0	0	0	121948	111108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233056	0	0	0	0	0	0	0	0	0	0	0	0	0	111108	121948
OPN	232632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232632	0	0	0	0	0	0	0	0	0
JPL	232456	232456	0	0	0	0	0	0	232456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232456
ZAY	232153	0	104373	127780	0	0	0	0	0	104373	0	127780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232153	0	0	0	0	0	0	0	0	0	0	0	0	127780	104373	0
FDN	232064	232064	0	0	0	0	0	0	232064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232064
WTP	231784	231784	0	0	0	0	0	0	231784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231784
BUA	231768	105396	0	0	126372	0	0	0	105396	0	0	0	0	0	0	0	126372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105396	0	126372	0	0	0	0	0	0	0	0	0	0	0	126372	105396
GNG	231399	0	0	231399	0	0	0	0	0	0	0	0	0	231399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231399	0	0	0	0	0	0	0	0	0	0	0	0	231399
BYH	230860	0	0	0	0	0	230860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230860	0	0	0	0	0	0	0	0	0	0	0	0	230860	0	0	0	0	0	0	0	0	0	230860	0	0	0
PKU	230714	230714	0	0	0	0	0	0	230714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230714
DHH	230685	0	230685	0	0	0	0	0	0	230685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230685	0	0	0	0	0	0	0	0	0	0	0	0	0	230685	0
VNE	230407	126020	0	104387	0	0	0	0	126020	0	0	0	104387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126020	104387	0	0	0	0	0	0	0	0	0	0	0	0	104387	126020
LMB	230405	0	0	0	0	0	230405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230405	0	0	0	0	0	0	0	0	0	0	0	0	230405	0	0	0	0	0	0	0	0	0	230405	0	0	0
LCM	230393	230393	0	0	0	0	0	0	230393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230393
UHM	230372	0	0	0	0	230372	0	0	0	0	0	0	0	0	0	0	0	0	0	230372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230372	0	0	0	0	0	0	0	0	0	0	230372	0	0	0
PLD	230280	230280	0	0	0	0	0	0	230280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230280
HCN	229793	229793	0	0	0	0	0	0	229793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229793
CVA	229414	229414	0	0	0	0	0	0	229414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229414
TYW	229238	0	0	0	0	0	229238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229238	0	0	0	0	0	0	0	0	0	0	0	0	229238	0	0	0	0	0	0	0	0	0	229238	0	0	0
CDD	229041	0	229041	0	0	0	0	0	0	0	229041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229041	0	0	0	0	0	0	0	0	0	0	0	0	0	229041
WTU	228946	0	0	0	0	0	0	228946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228946	0	0	0	0	0	0	228946	0	0	0	0	0	0	0	0	228946	0	0	0	0
EJM	228492	0	228492	0	0	0	0	0	0	0	228492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228492	0	0	0	0	0	0	0	0	0	0	0	0	0	228492
MTF	228420	228420	0	0	0	0	0	0	228420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228420
CMM	228217	228217	0	0	0	0	0	0	228217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228217
CTW	228098	0	0	0	0	0	118335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118335	0	0	0	0	0	0	0	0	0	0	0	0	118335	0	0	0	0	109763	0	0	0	0	118335	0	109763	0
YAI	227003	118890	108113	0	0	0	0	0	118890	108113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227003	0	0	0	0	0	0	0	0	0	0	0	0	0	108113	118890
CGH	226073	0	0	0	226073	0	0	0	0	0	0	0	0	0	0	226073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226073	0	0	0	0	0	0	0	0	0	0	0	226073	0	0
VUD	225946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225946	0	0	0	0	0	0	0	225946	0	0	0
MFG	225811	225811	0	0	0	0	0	0	225811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225811
AVP	225417	225417	0	0	0	0	0	0	225417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225417
